sep=; 
Time;Heater L;Heater R;TS-1;TS-2;TS-3;TS-4;T-Set;T-Actual;PWR-Heat;PWR-Fan;T-ColdJ;Mode
02:29,75;170,0;156,8;109,8;94,9;0,0;0,0;114;109,8; 50; 60;26,3;REFLOW
02:29,00;170,0;156,8;109,8;95,0;0,0;0,0;114;109,8; 51; 60;26,3;REFLOW
02:30,25;170,0;156,8;109,8;95,2;0,0;0,0;115;109,8; 54; 60;26,3;REFLOW
02:30,50;171,1;157,9;109,8;95,3;0,0;0,0;115;109,8; 54; 60;26,3;REFLOW
02:30,75;171,1;157,9;109,8;95,5;0,0;0,0;115;109,8; 54; 60;26,3;REFLOW
02:30,00;171,1;157,9;109,9;95,6;0,0;0,0;115;109,9; 50; 60;26,3;REFLOW
02:31,25;171,1;157,9;109,9;95,7;0,0;0,0;115;109,9; 54; 60;26,2;REFLOW
02:31,50;171,1;157,9;109,9;95,8;0,0;0,0;115;109,9; 54; 60;26,3;REFLOW
02:31,75;171,1;157,9;109,9;95,9;0,0;0,0;115;109,9; 54; 60;26,3;REFLOW
02:31,00;171,1;157,9;109,9;96,0;0,0;0,0;115;109,9; 54; 60;26,2;REFLOW
02:32,25;171,1;159,0;109,9;96,1;0,0;0,0;115;109,9; 56; 60;26,3;REFLOW
02:32,50;171,1;159,0;109,9;96,2;0,0;0,0;115;109,9; 56; 60;26,3;REFLOW
02:32,75;171,1;159,0;109,9;96,3;0,0;0,0;115;109,9; 54; 60;26,3;REFLOW
02:32,00;171,1;159,0;109,9;96,4;0,0;0,0;115;109,9; 55; 60;26,3;REFLOW
02:33,25;171,1;159,0;109,9;96,4;0,0;0,0;115;109,9; 57; 60;26,3;REFLOW
02:33,50;170,0;159,0;109,9;96,5;0,0;0,0;115;109,9; 57; 60;26,2;REFLOW
02:33,75;170,0;160,1;110,0;96,6;0,0;0,0;115;110,0; 55; 60;26,2;REFLOW
02:33,00;171,1;160,1;110,1;96,8;0,0;0,0;115;110,1; 55; 60;26,3;REFLOW
02:34,25;171,1;160,1;110,2;96,9;0,0;0,0;115;110,2; 54; 60;26,3;REFLOW
02:34,50;171,1;160,1;110,4;97,0;0,0;0,0;115;110,4; 51; 60;26,3;REFLOW
02:34,75;171,1;160,1;110,5;97,2;0,0;0,0;115;110,5; 52; 60;26,3;REFLOW
02:34,00;170,0;160,1;110,6;97,3;0,0;0,0;115;110,6; 51; 60;26,3;REFLOW
02:35,25;170,0;160,1;110,8;97,4;0,0;0,0;116;110,8; 50; 60;26,3;REFLOW
02:35,50;171,1;160,1;110,9;97,5;0,0;0,0;116;110,9; 50; 60;26,3;REFLOW
02:35,75;171,1;160,1;111,2;97,6;0,0;0,0;116;111,2; 45; 60;26,3;REFLOW
02:35,00;171,1;161,2;111,3;97,6;0,0;0,0;116;111,3; 47; 60;26,2;REFLOW
02:36,25;171,1;161,2;111,5;97,6;0,0;0,0;116;111,5; 46; 60;26,3;REFLOW
02:36,50;171,1;161,2;111,6;97,6;0,0;0,0;116;111,6; 46; 60;26,3;REFLOW
02:36,75;171,1;161,2;111,8;97,6;0,0;0,0;116;111,8; 43; 60;26,3;REFLOW
02:36,00;171,1;161,2;111,9;97,7;0,0;0,0;116;111,9; 45; 60;26,3;REFLOW
02:37,25;171,1;161,2;111,9;97,8;0,0;0,0;116;111,9; 46; 60;26,3;REFLOW
02:37,50;171,1;161,2;112,1;97,9;0,0;0,0;116;112,1; 44; 60;26,3;REFLOW
02:37,75;170,0;161,2;112,1;98,0;0,0;0,0;116;112,1; 47; 60;26,3;REFLOW
02:37,00;171,1;160,1;112,3;98,0;0,0;0,0;116;112,3; 41; 60;26,3;REFLOW
02:38,25;171,1;160,1;112,3;98,0;0,0;0,0;116;112,3; 47; 60;26,3;REFLOW
02:38,50;171,1;160,1;112,3;98,0;0,0;0,0;116;112,3; 47; 60;26,3;REFLOW
02:38,75;171,1;161,2;112,3;98,0;0,0;0,0;116;112,3; 45; 60;26,3;REFLOW
02:38,00;171,1;161,2;112,4;98,1;0,0;0,0;116;112,4; 45; 60;26,3;REFLOW
02:39,25;171,1;161,2;112,4;98,2;0,0;0,0;116;112,4; 47; 60;26,3;REFLOW
02:39,50;171,1;161,2;112,4;98,2;0,0;0,0;116;112,4; 47; 60;26,3;REFLOW
02:39,75;171,1;161,2;112,4;98,3;0,0;0,0;116;112,4; 46; 60;26,3;REFLOW
02:39,00;171,1;161,2;112,6;98,4;0,0;0,0;116;112,6; 43; 60;26,3;REFLOW
02:40,25;171,1;161,2;112,6;98,4;0,0;0,0;117;112,6; 46; 60;26,2;REFLOW
02:40,50;171,1;161,2;112,6;98,4;0,0;0,0;117;112,6; 47; 60;26,3;REFLOW
02:40,75;171,1;162,3;112,6;98,4;0,0;0,0;117;112,6; 47; 60;26,3;REFLOW
02:40,00;171,1;162,3;112,8;98,4;0,0;0,0;117;112,8; 44; 60;26,2;REFLOW
02:41,25;171,1;162,3;112,8;98,5;0,0;0,0;117;112,8; 47; 60;26,2;REFLOW
02:41,50;171,1;162,3;112,9;98,6;0,0;0,0;117;112,9; 45; 60;26,3;REFLOW
02:41,75;171,1;162,3;113,0;98,7;0,0;0,0;117;113,0; 45; 60;26,3;REFLOW
02:41,00;171,1;162,3;113,0;98,8;0,0;0,0;117;113,0; 47; 60;26,2;REFLOW
02:42,25;171,1;162,3;113,1;98,8;0,0;0,0;117;113,1; 47; 60;26,2;REFLOW
02:42,50;171,1;162,3;113,2;98,8;0,0;0,0;117;113,2; 45; 60;26,3;REFLOW
02:42,75;171,1;162,3;113,3;98,9;0,0;0,0;117;113,3; 46; 60;26,2;REFLOW
02:42,00;171,1;162,3;113,3;98,9;0,0;0,0;117;113,3; 45; 60;26,2;REFLOW
02:43,25;171,1;162,3;113,4;99,1;0,0;0,0;117;113,4; 45; 60;26,3;REFLOW
02:43,50;171,1;162,3;113,5;99,2;0,0;0,0;117;113,5; 46; 60;26,3;REFLOW
02:43,75;171,1;163,4;113,6;99,3;0,0;0,0;117;113,6; 44; 60;26,2;REFLOW
02:43,00;171,1;163,4;113,8;99,4;0,0;0,0;117;113,8; 43; 60;26,3;REFLOW
02:44,25;171,1;163,4;113,8;99,6;0,0;0,0;118;113,8; 48; 60;26,1;REFLOW
02:44,50;171,1;163,4;113,8;99,7;0,0;0,0;118;113,8; 48; 60;26,3;REFLOW
02:44,75;171,1;163,4;113,8;99,9;0,0;0,0;118;113,8; 48; 60;26,3;REFLOW
02:44,00;171,1;163,4;113,9;99,9;0,0;0,0;118;113,9; 44; 60;26,2;REFLOW
02:45,25;171,1;163,4;113,9;99,9;0,0;0,0;118;113,9; 49; 60;26,3;REFLOW
02:45,50;171,1;164,5;113,9;99,9;0,0;0,0;118;113,9; 49; 60;26,3;REFLOW
02:45,75;171,1;164,5;113,9;99,9;0,0;0,0;118;113,9; 49; 60;26,3;REFLOW
02:45,00;171,1;163,4;113,9;100,1;0,0;0,0;118;113,9; 48; 60;26,3;REFLOW
02:46,25;171,1;164,5;114,0;100,1;0,0;0,0;118;114,0; 50; 60;26,3;REFLOW
02:46,50;171,1;164,5;114,0;100,1;0,0;0,0;118;114,0; 51; 60;26,3;REFLOW
02:46,75;171,1;164,5;114,1;100,1;0,0;0,0;118;114,1; 49; 60;26,3;REFLOW
02:46,00;171,1;164,5;114,1;100,1;0,0;0,0;118;114,1; 50; 60;26,2;REFLOW
02:47,25;172,2;164,5;114,1;100,1;0,0;0,0;119;114,1; 51; 60;26,2;REFLOW
02:47,50;172,2;164,5;114,1;100,1;0,0;0,0;119;114,1; 52; 60;26,3;REFLOW
02:47,75;172,2;164,5;114,1;100,1;0,0;0,0;119;114,1; 52; 60;26,2;REFLOW
02:47,00;172,2;164,5;114,1;100,1;0,0;0,0;119;114,1; 52; 60;26,2;REFLOW
02:48,25;172,2;164,5;114,2;100,1;0,0;0,0;119;114,2; 53; 60;26,2;REFLOW
02:48,50;173,3;164,5;114,3;100,3;0,0;0,0;119;114,3; 51; 60;26,3;REFLOW
02:48,75;173,3;164,5;114,4;100,3;0,0;0,0;119;114,4; 50; 60;26,2;REFLOW
02:48,00;173,3;165,6;114,6;100,3;0,0;0,0;119;114,6; 49; 60;26,3;REFLOW
02:49,25;173,3;165,6;114,7;100,4;0,0;0,0;119;114,7; 50; 60;26,2;REFLOW
02:49,50;173,3;165,6;114,8;100,4;0,0;0,0;119;114,8; 51; 60;26,3;REFLOW
02:49,75;173,3;164,5;114,8;100,4;0,0;0,0;119;114,8; 50; 60;26,3;REFLOW
02:49,00;173,3;165,6;114,9;100,6;0,0;0,0;119;114,9; 50; 60;26,3;REFLOW
02:50,25;173,3;165,6;114,9;100,6;0,0;0,0;120;114,9; 52; 60;26,3;REFLOW
